AA;Attack Assessment;sentinel
A&A;Assessment & Authorization;sentinel
A&AS;Administrative and Assistance Services;sentinel
AAA;Allocation, Assessment, and Analysis;sentinel
AAA;Availability/Allocation Assessment;sentinel
AAF;Adaptive Acquisition Framework;sentinel
ABM;Anti-Ballistic Missile;sentinel
AC;Acceptance Criteria;sentinel
AC;Assurance Case;sentinel
ACA;Alternate Command Authority;sentinel
ACAT;Acquisition Category;sentinel
ACP;Annual Compensation Planning;sentinel
ACQSTRAT;Acquisition Strategy;sentinel
ACS;Attitude Control System;sentinel
ADM;Acquisition Decision Memorandum;sentinel
A&E;Ammunition & Explosives;sentinel
AEDC;Arnold Engineer Development Complex;sentinel
AEHF;Advanced Extremely High Frequency;sentinel
AF;Air Force;sentinel
AFA;Arming and Fuzing Assembly;sentinel
AFB;Air Force Base;sentinel
AFCAA;Air Force Cost Analysis Agency (AF cost folks);sentinel
AFCAP;Air Force Certification and Accreditation Program;sentinel
AFCEA;Armed Forces Communications & Electronics Association;sentinel
AFCEC;Air Force Civil Engineer Center;sentinel
AFCON;Air Force Controlled Units;sentinel
AFEMS;Air Force Equipment Management System;sentinel
AF&F;Arming, Fuzing, and Firing;sentinel
AFGSC;Air Force Global Strike Command;sentinel
AFGSCI;Air Force Global Strike Command Instruction;sentinel
AFI;Air Force Instruction;sentinel
AFIT;Air Force institute of Technology;sentinel
AFLCMC;Air Force Life Cycle Management Center;sentinel
AFLCMC/SS;Air Force Life Cycle Management Center/Strategic Systems;sentinel
AFMAN;Air Force Manual;sentinel
AFMC;Air Force Materiel Command;sentinel
AFMCI;Air Force Materiel Command Instruction;sentinel
AFNIC;Air Force Network Integration Center;sentinel
AFNWC;Air Force Nuclear Weapons Center;sentinel
AFNWC/NM;AFNWC MMIII Directorate;sentinel
AFNWC/NX;AFNWC Sentinel Directorate;sentinel
AFNWCI;Air Force Nuclear Weapons Center Instruction;sentinel
AFOSH;Air Force Occupational Safety and Health;sentinel
AFOTEC;Air Force Operational Test & Evaluation Center;sentinel
AFPAM;Air Force Pamphlet;sentinel
AFPD;Air Force Policy Directive;sentinel
AFRB;Air Force Review Board ;sentinel
AFRL;Air Force Research Laboratory;sentinel
AFPD;Air Force Policy Directive;sentinel
AFPEO/SS;Air Force Program Executive Officer for Strategic Systems;sentinel
AFRB;Award-Fee Review Board;sentinel
AFRL;Air Force Research Laboratory;sentinel
AFROC;Air Force Requirements Oversight Council;sentinel
AFS;Arming and Fusing System;sentinel
AFSATCOM;Air Force Satellite Communications;sentinel
AFSEC;Air Force Safety Center;sentinel
AFSMO;Air Force Spectrum Management Office;sentinel
AFSPC;Air Force Space Command;sentinel
AFSS;Autonomous Flight Safety System;sentinel
AFTC;Air Force Test Center (Edwards AFB);sentinel
AFTOC;Air Force Total Ownership Cost;sentinel
AFTU;Autonomous Flight Termination Unit;sentinel
AFWTR;Air Force Western Test Range;sentinel
AGTE;Above Ground Test Equipment;sentinel
AIA; Aerospace Industries Association;sentinel
AIMU;Advanced Inertial Measurement Unit;sentinel
AJRD;Aerojet Rocketdyne;sentinel
ALCL;Alternate Launch Control Location;sentinel
ALCM;Air Launched Cruise Missile;sentinel
ALCS;Airborne Launch Control System;sentinel
ALCS-R;Airborne Launch Control System - Replacement;sentinel
ALM;Application Lifecycle Management;sentinel
ALP;Alternate Launch Platform;sentinel
ALS;Acquisition Life Cycle;sentinel
Alt-PIGA;Alternate Pendulous Integrating Gyroscopic Accelerometer;sentinel
AMG;Architecture Mentors Group;sentinel
AMRDEC;Aviation and Missile Research, Development and Engineering Command;sentinel
ANDI;Air Force & National Nuclear Secruity Administration Demonstration Initiative;sentinel
AoA;Analysis of Alternatives;sentinel
AO;Action Officer;sentinel
AO;Authorizing Official;sentinel
AOB;Alternate Operating Base;sentinel
AOB;Acquisition Oversight Board;sentinel
AOP;Airborne Operational Program;sentinel
AOP;Annual Operating Plan;sentinel
AOR;Area of Responsibility;sentinel
AOTR;Assessment of Operational Test Readiness;sentinel
AOTTS;All Ordnance Thrust Termination System;sentinel
AP;Advanced Procurement;sentinel
AP;Ammonium Perchlorate;sentinel
AP;Acquisition Plan;sentinel
APA;Additional Performance Attribute;sentinel
APB;Acquisition Program Baseline;sentinel
API;Application Program Interface (IS);sentinel
APL;Applied Physics Lab (at Johns Hopkins);sentinel
APSR;Accountable Property System of Record;sentinel
APT;Advanced Persistent Threat;sentinel
APT;Airborne Procedures Trainer;sentinel
APWG;Architectures and Profiles Working Group;sentinel
AQB;Scientific Advisory Board;sentinel
AQC;Contracting;sentinel
AQD;Logistics and Product Support;sentinel
AQH;Acquisition Career Management;sentinel
AQI;Information Dominance;sentinel
AQP;Global Power;sentinel
AQQ;Global Reach;sentinel
AQR;Science, Technology, and Engineering;sentinel
AQS;Space Programs;sentinel
AQX;Acquisition Integration;sentinel
ARB;Analysis Review Board;sentinel
ARB;Architecture Review Board;sentinel
ARB;Analytical Requirements Review Board;sentinel
ARES;Advanced Radiation Environment Simulator;sentinel
ARM;Active Risk Managment;sentinel
ARR;Alert Readiness Rate;sentinel
ARRB;Analytical Requirments Review Board;sentinel
AS;Acquisition Strategy;sentinel
ASAP;As Soon As Possible;sentinel
ASD;Acquisition Strategy Document;sentinel
ASIA;Age Sensitive Item Analysis;sentinel
ASIC;Application Specific Integrated Circuit;sentinel
ASL;Approved Supplier List;sentinel
ASOT;Authoritative Source of Truth;sentinel
ASP;Acquisition Strategy Plan;sentinel
ASR;Alternative Systems Review;sentinel
ASSIST;Acquisition Streamlining and Standardization Information System;sentinel
ASU;Acquisition Sustainment Unit;sentinel
ATAM;Architectural Tradeoff Analysis Method;sentinel
ATC;Authority to Connect;sentinel
AT&L;Acquisition, Technology, & Logistics;sentinel
ATO;Authority to Operate (required for any gov system, classified or not);sentinel
ATO;Awardable Task Order;sentinel
ATP;Authority to Proceed;sentinel
ATP;Anti-Tamper Plan;sentinel
ATR;Above Threshold Reprogramming (request for more $);sentinel
ATS;Automated Test Systems;sentinel
AVAM;Air Vehicle Architecture Model;sentinel
AVE;Airborne / Aerospace Vehicle Equipment;sentinel
AWE;Advanced Warfighting Experiment;sentinel
BA;Budget Authority;sentinel
BAA;Broad Agency Announcement;sentinel
BAC;Budget at Completion;sentinel
BAM;Blue C2 Architecture MS&A Environment;sentinel
BAP;Budget Appeals Paper;sentinel
BCA;Business Case Analysis;sentinel
BCR;Budget Change Request;sentinel
(B) CRP;(Basic) Certification Requirements Plan;sentinel
BCWP;Budgeted Cost of Work Performed;sentinel
BCWS;Budgeted Cost of Work Scheduled;sentinel
BDA;Battle Damage Assessment;sentinel
BEAT;Big Event Action Team;sentinel
BEI;Baseline Execution Index;sentinel
BES;Budget Estimate Submisssion;sentinel
BIT;Built-In Test;sentinel
BLUF;Bottom Line Up Front;sentinel
BMT;Business Management Team (NG IPT);sentinel
BOA;Blanket Order Agreement;sentinel
BOA;Broad Ocen Area;sentinel
BOA TASTC;Broad Ocean Area Terminal Area Scoring Test Capability;sentinel
BOD;Board of Directors (division chiefs);sentinel
BOE;Body of Evidence;sentinel
BOM;Bill of Materials;sentinel
BOSS;Business Efficiency Online Staffing System;sentinel
BPDU;Battery Power Distribution Unit;sentinel
BTR;Below Threshold Reprogramming;sentinel
C2;Command and Control;sentinel
C3;Command, Control, and Communications;sentinel
C3I&N;Command, Control, Communications, Intelligence, and Networks;sentinel
C4I;Command, Control, Communications, Computers, and Intelligence;sentinel
C4ISR;Command, Control, Communications, Computers, Intelligence, Surveillance, and Reconnaissance;sentinel
CA;Contract Award;sentinel
CA;Criticality Assessment;sentinel
C&A;Certification and Accreditation;sentinel
C&L;Command and Launch;sentinel
CAAR;Cybersecurity Architecture Analysis Report;sentinel
CAC;Common Access Card;sentinel
CAD;Computer Aided Design;sentinel
CADE;Cost Assessment Data Enterprise;sentinel
CAE;Component Acquisition Executive (above PEO);sentinel
CAE;Computer Aided Engineering;sentinel
CAM;Centralized Asset Management;sentinel
CAM;Control Account Manager;sentinel
CAMP;Commercially Augmented Mission Platform;sentinel
CAN;Controller Area Network;sentinel
CAO;Current As Of;sentinel
CAP;Control Account Plan;sentinel
CAP;Corrective Action Period;sentinel
CAP;Corrective Action Plan;sentinel
CAPCO;Controlled Access Program Coordination Office;sentinel
CAPE;Cost Analysis and Program Evaluation (DoD Cost folks);sentinel
CAPEC;Common Attack Pattern Enumeration and Classification;sentinel
CAR;Corrective Action Report;sentinel
CARD;Cost Analysis Requirements Description;sentinel
